1.6432, 1.3619, 1.2273, 1.1198, 1.0411, 0.9703, 0.9090, 0.8509, 0.8062, 0.7635, 
0.7199, 0.6850, 0.6556, 0.6238, 0.6009, 0.5748, 0.5484, 0.5272, 0.5055, 0.4886, 
0.4675, 0.4477, 0.4298, 0.4166, 0.3945, 0.3808, 0.3705, 0.3554, 0.3409, 0.3205, 
0.3163, 0.2997, 0.2860, 0.2773, 0.2665, 0.2546, 0.2430, 0.2332, 0.2231, 0.2154, 
0.2066, 0.1976, 0.1902, 0.1819, 0.1735, 0.1655, 0.1611, 0.1543, 0.1508, 0.1422,
0.1360, 0.1273, 0.1255, 0.1196, 0.1154, 0.1129, 0.1103, 0.1052, 0.0988, 0.0945, 
0.0921, 0.0886, 0.0850, 0.0859, 0.0793, 0.0761, 0.0745, 0.0742, 0.0702, 0.0689, 
0.0684, 0.0631, 0.0601, 0.0598, 0.0595, 0.0572, 0.0531, 0.0505, 0.0518, 0.0512, 
0.0512, 0.0482, 0.0467, 0.0461, 0.0432, 0.0427, 0.0424, 0.0408, 0.0398, 0.0390, 
0.0393, 0.0354, 0.0356, 0.0354, 0.0356, 0.0349, 0.0347, 0.0313, 0.0337, 0.0312, 
0.0312, 0.0306, 0.0270, 0.0291, 0.0288, 0.0286, 0.0249, 0.0259, 0.0281, 0.0263, 
0.0273, 0.0270, 0.0244, 0.0265, 0.0216, 0.0228, 0.0236, 0.0235, 0.0224, 0.0202, 
0.0210, 0.0227, 0.0206, 0.0210, 0.0199, 0.0182, 0.0209, 0.0209, 0.0207, 0.0204, 
0.0191, 0.0183, 0.0187, 0.0168, 0.0175, 0.0166, 0.0151, 0.0170, 0.0151, 0.0155, 
0.0159, 0.0161, 0.0172, 0.0140, 0.0161, 0.0135, 0.0137, 0.0144, 0.0130, 0.0140, 
0.0135, 0.0141, 0.0145, 0.0142, 0.0127, 0.0130, 0.0127, 0.0131, 0.0134, 0.0142, 
0.0143, 0.0127, 0.0118, 0.0125, 0.0116, 0.0118, 0.0129, 0.0109, 0.0119, 0.0118, 
0.0115, 0.0120, 0.0109, 0.0106, 0.0110, 0.0106, 0.0100, 0.0105, 0.0100, 0.0104, 
0.0111, 0.0110, 0.0090, 0.0094, 0.0088, 0.0097, 0.0093, 0.0098, 0.0090, 0.0083, 
0.0088, 0.0089, 0.0096, 0.0079, 0.0088, 0.0091, 0.0083, 0.0090, 0.0094, 0.0091, 
0.0079, 0.0087, 0.0079, 0.0091, 0.0081, 0.0075, 0.0070, 0.0075, 0.0083, 0.0078, 
0.0074, 0.0073, 0.0078, 0.0076, 0.0071, 0.0065, 0.0083, 0.0075, 0.0065, 0.0079, 
0.0083, 0.0081, 0.0065, 0.0062, 0.0076, 0.0079, 0.0070, 0.0086, 0.0073, 0.0075, 
0.0071, 0.0073, 0.0060, 0.0062, 0.0060, 0.0064, 0.0065, 0.0072, 0.0055, 0.0063, 
0.0070, 0.0061, 0.0070, 0.0061, 0.0056, 0.0055, 0.0058, 0.0058, 0.0057, 0.0057, 
0.0056, 0.0049, 0.0056, 0.0058, 0.0057, 0.0056, 0.0061, 0.0056, 0.0060, 0.0058, 
0.0054, 0.0052, 0.0050, 0.0050, 0.0048, 0.0062, 0.0052, 0.0050, 0.0053, 0.0051, 
0.0051, 0.0050, 0.0061, 0.0051, 0.0052, 0.0055, 0.0050, 0.0043, 0.0048, 0.0053, 
0.0052, 0.0044, 0.0051, 0.0050, 0.0041, 0.0049, 0.0046, 0.0052, 0.0049, 0.0049, 
0.0042, 0.0048, 0.0045, 0.0044, 0.0050, 0.0048, 0.0045, 0.0043, 0.0050, 0.0043, 
0.0052
